"geographic location (country and/or sea,region)",N/A,The geographical origin of the sample as defined by the country or sea name followed by specific region name.,text
geographic location (latitude and longitude),N/A,The geographical origin of the sample as defined by latitude and longitude. ,text
"elevation, meters",meters,"Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit",numeric
sample storage temperature,N/A,"Temperature at which sample was stored, e.g. -80 degree Celsius",text
composite design/sieving,N/A,Collection design of pooled samples and/or sieve size and amount of sample sieved,text
"depth, meters",N/A,"The vertical distance below local surface. For sediment or soil samples depth is measured from sediment or soil surface, respectively.",text
size-fraction lower threshold,N/A,Refers to the mesh/pore size used to pre-filter/pre-sort the sample. Materials smaller than the size threshold are excluded from the sample,text
size-fraction upper threshold,N/A,Mesh or pore size of the device used to retain the sample. Materials larger than the size threshold are excluded from the sample.,text
sample material processing,N/A,"A brief description of any processing applied to the sample during or after retrieving the sample from environment, or a link to the relevant protocol(s) performed",text
biotic regimen,N/A,"Information about treatment(s) involving use of biotic factors, such as bacteria, viruses or fungi",text
sample collection device,N/A,The device used to collect an environmental sample. ,text
sample collection method,N/A,The method employed for collecting the sample,text
air temperature regimen,N/A,"Information about treatment involving an exposure to varying temperatures; should include the temperature, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include different temperature regimens",text
chemical administration,N/A,"List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. ",text
amount or size of sample collected,N/A,"The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected",text
climate environment,N/A,"Treatment involving an exposure to a particular climate; treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple climates",text
gaseous environment,N/A,"Use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens",text
humidity regimen,N/A,"Information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens",text
observed biotic relationship,N/A,"Description of relationship(s) between the subject organism and other organism(s) it is associated with. E.g., parasite on species X; mutualist with species Y. The target organism is the subject of the relationship, and the other organism(s) is the object",text
light regimen,N/A,"Information about treatment(s) involving exposure to light, including both light intensity and quality",text
watering regimen,N/A,"Information about treatment involving an exposure to watering frequencies, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens",text
pH,N/A,"pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid",numeric
"collection time, GMT",N/A,"collection time, GMT associated with sample.",text
incubation collection date,N/A,incubation collection date associated with sample.,text
"incubation collection time, GMT",N/A,"incubation collection time, GMT associated with sample.",text
incubation start date,N/A,incubation start date associated with sample.,text
"incubation start time, GMT",N/A,"incubation start time, GMT associated with sample.",text
filter method,N/A,filter method associated with sample.,text
experimental factor- other,N/A,experimental factor- other associated with sample.,text
non-microbial biomass,N/A,non-microbial biomass associated with sample.,text
non-microbial biomass method,N/A,Reference or method used in determining non-microbial biomass,text
organic nitrogen method,N/A,Reference or method used in determining organic nitrogen,text
other treatments,N/A,other treatments associated with sample.,text
isotope exposure/addition,N/A,isotope exposure/addition associated with sample.,text
lime buffer capacity (at 30 minutes),N/A,lime buffer capacity (at 30 minutes) associated with sample.,text
lime buffer capacity (after 5 day incubation),N/A,lime buffer capacity (after 5 day incubation) associated with sample.,text
manganese,N/A,manganese associated with sample.,text
microbial biomass carbon method,N/A,Reference or method used in determining microbial biomass carbon,text
microbial biomass nitrogen method,N/A,Reference or method used in determining microbial biomass nitrogen,text
microbial biomass carbon,N/A,microbial biomass carbon associated with sample.,text
microbial biomass nitrogen,N/A,microbial biomass nitrogen associated with sample.,text
zinc,N/A,zinc associated with sample.,text
ammonium nitrogen,N/A,ammonium nitrogen associated with sample.,text
nitrate_nitrogen,N/A,nitrate_nitrogen associated with sample.,text
nitrite_nitrogen,N/A,nitrite_nitrogen associated with sample.,text
bulk electrical conductivity,N/A,bulk electrical conductivity associated with sample.,text
infiltrations,N/A,infiltrations associated with sample.,text
Sample_Collection_Date,YYYY-MM-DD,Date of sample collection.,date
IGSN,N/A,International Generic Sample Number (IGSN) for associated source sample.,text
Sample Name,N/A,Name of associated sample.,text
Release Date,YYYY-MM-DD,Date when sample metadata should be publicly accessible and searchable.,text
Collection method,N/A,Method of collection of sample.,text
Latitude,N/A,Latitude of the location where the sample was collected.,numeric
Longitude,N/A,Longitude of the location where the sample was collected.,numeric
Navigation type,N/A,Type of geolocation instrument used to obtain geographic coordinates.,text
Primary physiographic feature,N/A,Description of the primary physiographic feature of which the sample was collected.,text
Field program/cruise,N/A,Associated project of which the sample was collected for.,text
Collector/Chief Scientist,N/A,Name of the person(s) who collected the sample.,text
Collection date,N/A,Date of collection of the sample collected.,date
Depth in core max,N/A,"Depth of core, maximum.",numeric
Depth scale,N/A,Scale associated with depth of sample collection.,text
Country,N/A,Country associated of sample collected.,text
